10001,d005,1986-06-26,9999-01-01
10002,d007,1996-08-03,9999-01-01
10003,d004,1995-12-03,9999-01-01
10004,d004,1986-12-01,9999-01-01
10005,d003,1989-09-12,9999-01-01
10006,d005,1990-08-05,9999-01-01
10007,d008,1989-02-10,9999-01-01
10008,d005,1998-03-11,2000-07-31
10009,d006,1985-02-18,9999-01-01
10010,d004,1996-11-24,2000-06-26
10010,d006,2000-06-26,9999-01-01
10011,d009,1990-01-22,1996-11-09
10012,d005,1992-12-18,9999-01-01
10013,d003,1985-10-20,9999-01-01
10014,d005,1993-12-29,9999-01-01
10015,d008,1992-09-19,1993-08-22
10016,d007,1998-02-11,9999-01-01
10017,d001,1993-08-03,9999-01-01
10018,d004,1992-07-29,9999-01-01
10018,d005,1987-04-03,1992-07-29
10019,d008,1999-04-30,9999-01-01
10020,d004,1997-12-30,9999-01-01
10021,d005,1988-02-10,2002-07-15
10022,d005,1999-09-03,9999-01-01
10023,d005,1999-09-27,9999-01-01
10024,d004,1998-06-14,9999-01-01
10025,d005,1987-08-17,1997-10-15
10026,d004,1995-03-20,9999-01-01
10027,d005,1995-04-02,9999-01-01
10028,d005,1991-10-22,1998-04-06
10029,d004,1991-09-18,1999-07-08
10029,d006,1999-07-08,9999-01-01
10030,d004,1994-02-17,9999-01-01
10031,d005,1991-09-01,9999-01-01
10032,d004,1990-06-20,9999-01-01
10033,d006,1987-03-18,1993-03-24
10034,d007,1995-04-12,1999-10-31
10035,d004,1988-09-05,9999-01-01
10036,d003,1992-04-28,9999-01-01
10037,d005,1990-12-05,9999-01-01
10038,d009,1989-09-20,9999-01-01
10039,d003,1988-01-19,9999-01-01
10040,d005,1993-02-14,2002-01-22
10040,d008,2002-01-22,9999-01-01
10041,d007,1989-11-12,9999-01-01
10042,d002,1993-03-21,2000-08-10
10043,d005,1990-10-20,9999-01-01
10044,d004,1994-05-21,9999-01-01
10045,d004,1996-11-16,9999-01-01
10046,d008,1992-06-20,9999-01-01
10047,d004,1989-03-31,9999-01-01
10048,d005,1985-02-24,1987-01-27
10049,d009,1992-05-04,9999-01-01
10050,d002,1990-12-25,1992-11-05
10050,d007,1992-11-05,9999-01-01
10051,d004,1992-10-15,9999-01-01
10052,d008,1997-01-31,9999-01-01
10053,d007,1994-11-13,9999-01-01
10054,d003,1995-07-29,9999-01-01
10055,d001,1992-04-27,1995-07-22
10056,d005,1990-02-01,9999-01-01
10057,d005,1992-01-15,9999-01-01
10058,d001,1988-04-25,9999-01-01
10059,d002,1991-06-26,9999-01-01
10060,d007,1989-05-28,1992-11-11
10060,d009,1992-11-11,9999-01-01
10061,d007,1989-12-02,9999-01-01
10062,d005,1991-08-30,9999-01-01
10063,d004,1989-04-08,9999-01-01
10064,d008,1985-11-20,1992-03-02
10065,d005,1998-05-24,9999-01-01
10066,d005,1986-02-26,9999-01-01
